tensor(3.0001, dtype=torch.float64)
tensor(3.0014, dtype=torch.float64)
tensor(2.9936, dtype=torch.float64)
tensor(2.9996, dtype=torch.float64)
tensor(2.9936, dtype=torch.float64)
tensor(2.9795, dtype=torch.float64)
tensor(3.0090, dtype=torch.float64)
tensor(2.9838, dtype=torch.float64)
tensor(2.9556, dtype=torch.float64)
tensor(2.9743, dtype=torch.float64)
tensor(2.9699, dtype=torch.float64)
tensor(2.9334, dtype=torch.float64)
tensor(2.9212, dtype=torch.float64)
tensor(2.9868, dtype=torch.float64)
tensor(3.1026, dtype=torch.float64)
tensor(3.0559, dtype=torch.float64)
tensor(2.9775, dtype=torch.float64)
tensor(2.9850, dtype=torch.float64)
tensor(2.9310, dtype=torch.float64)
tensor(2.9472, dtype=torch.float64)
tensor(3.1311, dtype=torch.float64)
tensor(3.0094, dtype=torch.float64)
tensor(2.8983, dtype=torch.float64)
tensor(2.8858, dtype=torch.float64)
tensor(2.8989, dtype=torch.float64)
tensor(3.0818, dtype=torch.float64)
tensor(3.2608, dtype=torch.float64)
tensor(2.9739, dtype=torch.float64)
tensor(3.0538, dtype=torch.float64)
tensor(2.9579, dtype=torch.float64)
tensor(2.8692, dtype=torch.float64)
tensor(2.9390, dtype=torch.float64)
tensor(2.9100, dtype=torch.float64)
tensor(2.8653, dtype=torch.float64)
tensor(2.9262, dtype=torch.float64)
tensor(3.0127, dtype=torch.float64)
tensor(2.9883, dtype=torch.float64)
tensor(3.4605, dtype=torch.float64)
tensor(3.9091, dtype=torch.float64)
tensor(3.9575, dtype=torch.float64)
tensor(3.0633, dtype=torch.float64)
tensor(2.9934, dtype=torch.float64)
tensor(3.0093, dtype=torch.float64)
tensor(2.9374, dtype=torch.float64)
tensor(2.9410, dtype=torch.float64)
tensor(3.2093, dtype=torch.float64)
tensor(3.0133, dtype=torch.float64)
tensor(2.9842, dtype=torch.float64)
tensor(2.9576, dtype=torch.float64)
tensor(2.9633, dtype=torch.float64)
tensor(2.8822, dtype=torch.float64)
tensor(3.3617, dtype=torch.float64)
tensor(2.9601, dtype=torch.float64)
tensor(2.9803, dtype=torch.float64)
tensor(2.9719, dtype=torch.float64)
tensor(3.0252, dtype=torch.float64)
tensor(2.9517, dtype=torch.float64)
tensor(2.9677, dtype=torch.float64)
tensor(2.9629, dtype=torch.float64)
tensor(2.8328, dtype=torch.float64)
tensor(3.1786, dtype=torch.float64)
tensor(4.0199, dtype=torch.float64)
tensor(3.8722, dtype=torch.float64)
tensor(4.8348, dtype=torch.float64)
tensor(3.2490, dtype=torch.float64)
tensor(3.0850, dtype=torch.float64)
tensor(2.9889, dtype=torch.float64)
tensor(2.9104, dtype=torch.float64)
tensor(2.8911, dtype=torch.float64)
tensor(3.0451, dtype=torch.float64)
tensor(2.8773, dtype=torch.float64)
tensor(2.8871, dtype=torch.float64)
tensor(3.0427, dtype=torch.float64)
tensor(3.1049, dtype=torch.float64)
tensor(3.0211, dtype=torch.float64)
tensor(3.4173, dtype=torch.float64)
tensor(3.9294, dtype=torch.float64)
tensor(3.0248, dtype=torch.float64)
tensor(2.9159, dtype=torch.float64)
tensor(2.8394, dtype=torch.float64)
tensor(2.8957, dtype=torch.float64)
tensor(3.0666, dtype=torch.float64)
tensor(3.1227, dtype=torch.float64)
tensor(3.1325, dtype=torch.float64)
tensor(3.0030, dtype=torch.float64)
tensor(2.9493, dtype=torch.float64)
tensor(2.9085, dtype=torch.float64)
tensor(2.9540, dtype=torch.float64)
tensor(2.8116, dtype=torch.float64)
tensor(3.0221, dtype=torch.float64)
tensor(3.3312, dtype=torch.float64)
tensor(3.0030, dtype=torch.float64)
tensor(3.1679, dtype=torch.float64)
tensor(3.0849, dtype=torch.float64)
tensor(3.1883, dtype=torch.float64)
tensor(3.3981, dtype=torch.float64)
tensor(3.1754, dtype=torch.float64)
tensor(3.0069, dtype=torch.float64)
tensor(2.9311, dtype=torch.float64)
tensor(2.9458, dtype=torch.float64)
tensor(3.2890, dtype=torch.float64)
tensor(2.8965, dtype=torch.float64)
tensor(2.8507, dtype=torch.float64)
tensor(2.8865, dtype=torch.float64)
tensor(3.0274, dtype=torch.float64)
tensor(3.0394, dtype=torch.float64)
tensor(3.0348, dtype=torch.float64)
tensor(2.9959, dtype=torch.float64)
tensor(3.0349, dtype=torch.float64)
tensor(2.9410, dtype=torch.float64)
tensor(3.8169, dtype=torch.float64)
tensor(2.9416, dtype=torch.float64)
tensor(2.9449, dtype=torch.float64)
tensor(2.9070, dtype=torch.float64)
tensor(2.9055, dtype=torch.float64)
tensor(2.9614, dtype=torch.float64)
tensor(2.9996, dtype=torch.float64)
tensor(2.9241, dtype=torch.float64)
tensor(2.9471, dtype=torch.float64)
tensor(3.4680, dtype=torch.float64)
tensor(2.8202, dtype=torch.float64)
tensor(3.0521, dtype=torch.float64)
tensor(2.9506, dtype=torch.float64)
tensor(3.0696, dtype=torch.float64)
tensor(2.9708, dtype=torch.float64)
tensor(2.8825, dtype=torch.float64)
tensor(2.8126, dtype=torch.float64)
tensor(2.9920, dtype=torch.float64)
tensor(3.1186, dtype=torch.float64)
tensor(3.4411, dtype=torch.float64)
tensor(2.9760, dtype=torch.float64)
tensor(2.8221, dtype=torch.float64)
tensor(3.0248, dtype=torch.float64)
tensor(3.9679, dtype=torch.float64)
tensor(3.2265, dtype=torch.float64)
tensor(3.3503, dtype=torch.float64)
tensor(2.8807, dtype=torch.float64)
tensor(3.0003, dtype=torch.float64)
tensor(2.8663, dtype=torch.float64)
tensor(2.8461, dtype=torch.float64)
tensor(2.7942, dtype=torch.float64)
tensor(3.1259, dtype=torch.float64)
tensor(3.4759, dtype=torch.float64)
tensor(2.8498, dtype=torch.float64)
tensor(2.9711, dtype=torch.float64)
tensor(2.7955, dtype=torch.float64)
tensor(2.9139, dtype=torch.float64)
tensor(2.7819, dtype=torch.float64)
tensor(3.0217, dtype=torch.float64)
tensor(3.6630, dtype=torch.float64)
tensor(3.0040, dtype=torch.float64)
tensor(3.5128, dtype=torch.float64)
tensor(3.9458, dtype=torch.float64)
tensor(2.9993, dtype=torch.float64)
tensor(2.9884, dtype=torch.float64)
tensor(2.8796, dtype=torch.float64)
tensor(2.8460, dtype=torch.float64)
tensor(2.8337, dtype=torch.float64)
tensor(2.8065, dtype=torch.float64)
tensor(2.7389, dtype=torch.float64)
tensor(2.9161, dtype=torch.float64)
tensor(3.0534, dtype=torch.float64)
tensor(2.9921, dtype=torch.float64)
tensor(2.9671, dtype=torch.float64)
tensor(3.7521, dtype=torch.float64)
tensor(4.0914, dtype=torch.float64)
tensor(4.1793, dtype=torch.float64)
tensor(3.8108, dtype=torch.float64)
tensor(3.1913, dtype=torch.float64)
tensor(2.9156, dtype=torch.float64)
tensor(2.9902, dtype=torch.float64)
tensor(2.8736, dtype=torch.float64)
tensor(2.8863, dtype=torch.float64)
tensor(2.7812, dtype=torch.float64)
tensor(2.7382, dtype=torch.float64)
tensor(3.0033, dtype=torch.float64)
tensor(2.7990, dtype=torch.float64)
tensor(2.7971, dtype=torch.float64)
tensor(2.7411, dtype=torch.float64)
tensor(2.8891, dtype=torch.float64)
tensor(3.4356, dtype=torch.float64)
tensor(3.1410, dtype=torch.float64)
tensor(3.4843, dtype=torch.float64)
tensor(3.2426, dtype=torch.float64)
tensor(2.8843, dtype=torch.float64)
tensor(2.8676, dtype=torch.float64)
tensor(2.9942, dtype=torch.float64)
tensor(2.7811, dtype=torch.float64)
tensor(2.9724, dtype=torch.float64)
tensor(3.1094, dtype=torch.float64)
tensor(3.0643, dtype=torch.float64)
tensor(2.7226, dtype=torch.float64)
tensor(2.7402, dtype=torch.float64)
tensor(3.3075, dtype=torch.float64)
tensor(2.8046, dtype=torch.float64)
tensor(2.9883, dtype=torch.float64)
tensor(3.8076, dtype=torch.float64)
tensor(2.9116, dtype=torch.float64)
tensor(2.8554, dtype=torch.float64)
tensor(2.7323, dtype=torch.float64)
tensor(2.6252, dtype=torch.float64)
tensor(2.7140, dtype=torch.float64)
tensor(2.7382, dtype=torch.float64)
tensor(3.2816, dtype=torch.float64)
tensor(3.3218, dtype=torch.float64)
tensor(3.4377, dtype=torch.float64)
tensor(2.9775, dtype=torch.float64)
tensor(2.7730, dtype=torch.float64)
tensor(2.7403, dtype=torch.float64)
tensor(2.7470, dtype=torch.float64)
tensor(2.9388, dtype=torch.float64)
tensor(2.9396, dtype=torch.float64)
tensor(3.5821, dtype=torch.float64)
tensor(2.8502, dtype=torch.float64)
tensor(2.8356, dtype=torch.float64)
tensor(2.8829, dtype=torch.float64)
tensor(3.3429, dtype=torch.float64)
tensor(2.8317, dtype=torch.float64)
tensor(2.7149, dtype=torch.float64)
tensor(2.7781, dtype=torch.float64)
tensor(2.9606, dtype=torch.float64)
tensor(3.1511, dtype=torch.float64)
tensor(2.7607, dtype=torch.float64)
tensor(2.6569, dtype=torch.float64)
tensor(2.5707, dtype=torch.float64)
tensor(2.6135, dtype=torch.float64)
tensor(2.6478, dtype=torch.float64)
tensor(3.0156, dtype=torch.float64)
tensor(3.2288, dtype=torch.float64)
tensor(3.1983, dtype=torch.float64)
tensor(2.6965, dtype=torch.float64)
tensor(2.7612, dtype=torch.float64)
tensor(2.9712, dtype=torch.float64)
tensor(3.0008, dtype=torch.float64)
tensor(3.0468, dtype=torch.float64)
tensor(2.9049, dtype=torch.float64)
tensor(3.4580, dtype=torch.float64)
tensor(2.9818, dtype=torch.float64)
tensor(2.8461, dtype=torch.float64)
tensor(2.7557, dtype=torch.float64)
tensor(2.8046, dtype=torch.float64)
tensor(2.7373, dtype=torch.float64)
tensor(2.8149, dtype=torch.float64)
tensor(2.7209, dtype=torch.float64)
tensor(2.8322, dtype=torch.float64)
tensor(2.5800, dtype=torch.float64)
tensor(2.5527, dtype=torch.float64)
tensor(2.6082, dtype=torch.float64)
tensor(2.9213, dtype=torch.float64)
tensor(2.8437, dtype=torch.float64)
tensor(3.0197, dtype=torch.float64)
tensor(3.5249, dtype=torch.float64)
tensor(5.3300, dtype=torch.float64)
tensor(3.3912, dtype=torch.float64)
tensor(3.5899, dtype=torch.float64)
tensor(3.8337, dtype=torch.float64)
tensor(2.8834, dtype=torch.float64)
tensor(2.8479, dtype=torch.float64)
tensor(2.9360, dtype=torch.float64)
tensor(2.8438, dtype=torch.float64)
tensor(2.6830, dtype=torch.float64)
tensor(2.6449, dtype=torch.float64)
tensor(2.9927, dtype=torch.float64)
tensor(2.8495, dtype=torch.float64)
tensor(2.7854, dtype=torch.float64)
tensor(2.7752, dtype=torch.float64)
tensor(2.6743, dtype=torch.float64)
tensor(3.0246, dtype=torch.float64)
tensor(3.5694, dtype=torch.float64)
tensor(3.2007, dtype=torch.float64)
tensor(3.1188, dtype=torch.float64)
tensor(2.7994, dtype=torch.float64)
tensor(2.7731, dtype=torch.float64)
tensor(2.6292, dtype=torch.float64)
tensor(2.7840, dtype=torch.float64)
tensor(2.6948, dtype=torch.float64)
tensor(2.9608, dtype=torch.float64)
tensor(3.3950, dtype=torch.float64)
tensor(3.1829, dtype=torch.float64)
tensor(3.8286, dtype=torch.float64)
tensor(3.0434, dtype=torch.float64)
tensor(2.8085, dtype=torch.float64)
tensor(2.6645, dtype=torch.float64)
tensor(2.6537, dtype=torch.float64)
tensor(2.6849, dtype=torch.float64)
tensor(2.6608, dtype=torch.float64)
tensor(2.5416, dtype=torch.float64)
tensor(2.4906, dtype=torch.float64)
tensor(2.4974, dtype=torch.float64)
tensor(2.6304, dtype=torch.float64)
tensor(2.8176, dtype=torch.float64)
tensor(2.7341, dtype=torch.float64)
tensor(3.8685, dtype=torch.float64)
tensor(5.7876, dtype=torch.float64)
tensor(6.8208, dtype=torch.float64)
tensor(2.7914, dtype=torch.float64)
tensor(2.6552, dtype=torch.float64)
tensor(2.8101, dtype=torch.float64)
tensor(2.7251, dtype=torch.float64)
tensor(2.7038, dtype=torch.float64)
tensor(2.7500, dtype=torch.float64)
tensor(2.7239, dtype=torch.float64)
tensor(2.6777, dtype=torch.float64)
tensor(2.6041, dtype=torch.float64)
tensor(2.5345, dtype=torch.float64)
tensor(2.8563, dtype=torch.float64)
tensor(2.7229, dtype=torch.float64)
tensor(3.2595, dtype=torch.float64)
tensor(2.9577, dtype=torch.float64)
tensor(2.6969, dtype=torch.float64)
tensor(2.6642, dtype=torch.float64)
tensor(3.3018, dtype=torch.float64)
tensor(3.7905, dtype=torch.float64)
tensor(2.9893, dtype=torch.float64)
tensor(2.9865, dtype=torch.float64)
tensor(2.7530, dtype=torch.float64)
tensor(2.7598, dtype=torch.float64)
tensor(2.6794, dtype=torch.float64)
tensor(2.6097, dtype=torch.float64)
tensor(2.5366, dtype=torch.float64)
tensor(2.4776, dtype=torch.float64)
tensor(2.4036, dtype=torch.float64)
tensor(2.5935, dtype=torch.float64)
tensor(3.0036, dtype=torch.float64)
tensor(2.8510, dtype=torch.float64)
tensor(2.5779, dtype=torch.float64)
tensor(2.6801, dtype=torch.float64)
tensor(2.6995, dtype=torch.float64)
tensor(2.8041, dtype=torch.float64)
tensor(3.4222, dtype=torch.float64)
tensor(2.9225, dtype=torch.float64)
tensor(4.1831, dtype=torch.float64)
tensor(3.2681, dtype=torch.float64)
tensor(3.6163, dtype=torch.float64)
tensor(4.3956, dtype=torch.float64)
tensor(3.1955, dtype=torch.float64)
tensor(2.9478, dtype=torch.float64)
tensor(2.6882, dtype=torch.float64)
tensor(2.6626, dtype=torch.float64)
tensor(2.6036, dtype=torch.float64)
tensor(2.6749, dtype=torch.float64)
tensor(2.6922, dtype=torch.float64)
tensor(2.6918, dtype=torch.float64)
tensor(2.6907, dtype=torch.float64)
tensor(2.6669, dtype=torch.float64)
tensor(2.5322, dtype=torch.float64)
tensor(2.5844, dtype=torch.float64)
tensor(2.7492, dtype=torch.float64)
tensor(2.5460, dtype=torch.float64)
tensor(2.6413, dtype=torch.float64)
tensor(2.8604, dtype=torch.float64)
tensor(3.2013, dtype=torch.float64)
tensor(2.5377, dtype=torch.float64)
tensor(2.4665, dtype=torch.float64)
tensor(3.1784, dtype=torch.float64)
tensor(3.5392, dtype=torch.float64)
tensor(3.3950, dtype=torch.float64)
tensor(3.1417, dtype=torch.float64)
tensor(3.7451, dtype=torch.float64)
tensor(3.4530, dtype=torch.float64)
tensor(3.2164, dtype=torch.float64)
tensor(3.0382, dtype=torch.float64)
tensor(3.0626, dtype=torch.float64)
tensor(3.3197, dtype=torch.float64)
tensor(3.1003, dtype=torch.float64)
tensor(3.0474, dtype=torch.float64)
tensor(2.6566, dtype=torch.float64)
tensor(2.7149, dtype=torch.float64)
tensor(2.7033, dtype=torch.float64)
tensor(2.7383, dtype=torch.float64)
tensor(2.7489, dtype=torch.float64)
tensor(2.6192, dtype=torch.float64)
tensor(2.6847, dtype=torch.float64)
tensor(2.8290, dtype=torch.float64)
tensor(2.5645, dtype=torch.float64)
tensor(2.7264, dtype=torch.float64)
tensor(2.7188, dtype=torch.float64)
tensor(2.4612, dtype=torch.float64)
tensor(2.4866, dtype=torch.float64)
tensor(2.5431, dtype=torch.float64)
tensor(2.5325, dtype=torch.float64)
tensor(2.4829, dtype=torch.float64)
tensor(2.5327, dtype=torch.float64)
tensor(2.3986, dtype=torch.float64)
tensor(2.5278, dtype=torch.float64)
tensor(2.5490, dtype=torch.float64)
tensor(2.8348, dtype=torch.float64)
tensor(2.9224, dtype=torch.float64)
tensor(3.3448, dtype=torch.float64)
tensor(2.5375, dtype=torch.float64)
tensor(2.5012, dtype=torch.float64)
tensor(2.4771, dtype=torch.float64)
tensor(2.8325, dtype=torch.float64)
tensor(3.1173, dtype=torch.float64)
tensor(2.8258, dtype=torch.float64)
tensor(2.6000, dtype=torch.float64)
tensor(2.5669, dtype=torch.float64)
tensor(2.5539, dtype=torch.float64)
tensor(3.6898, dtype=torch.float64)
tensor(3.4167, dtype=torch.float64)
tensor(3.1144, dtype=torch.float64)
tensor(4.0724, dtype=torch.float64)
tensor(3.8089, dtype=torch.float64)
tensor(3.9567, dtype=torch.float64)
tensor(3.3723, dtype=torch.float64)
tensor(2.9643, dtype=torch.float64)
tensor(3.7355, dtype=torch.float64)
tensor(3.2442, dtype=torch.float64)
tensor(5.7799, dtype=torch.float64)
tensor(3.6714, dtype=torch.float64)
tensor(3.2674, dtype=torch.float64)
tensor(2.8548, dtype=torch.float64)
tensor(2.9807, dtype=torch.float64)
tensor(2.6704, dtype=torch.float64)
tensor(2.6791, dtype=torch.float64)
tensor(2.7749, dtype=torch.float64)
tensor(2.6407, dtype=torch.float64)
tensor(2.4267, dtype=torch.float64)
tensor(3.1401, dtype=torch.float64)
